symbol,n_docs,n_snippets,market_cap_category,qrs,qrs_mean_boot,qrs_ci_lo,qrs_ci_hi,beta,beta_mean_boot,beta_ci_lo,beta_ci_hi,reports_score,news_score,other_score,qrs_unweighted
PSIX,127,127,small,16.949020139304917,16.092331714952365,12.256175709581237,20.803569218083286,2.8875355251047314,2.838629925208265,2.5844635351345757,3.082073681993621,23.512230595573783,17.35042070420459,-0.0611068487167358,40.80154445106163
MPWR,263,263,large,16.151777644027025,16.49322599416226,11.005493730073562,25.20882656387147,2.8421018209533235,2.8618137199444544,2.485364355864055,3.266096245782587,13.8279460798949,37.066261721216144,0.14031630419194696,51.034524105302985
IMAX,182,182,mid,15.662325213868172,16.308145880168926,11.810133611318655,20.184282163851886,2.8131501956594516,2.8511772508092617,2.550236546089897,3.0532594993341267,14.660782426595688,26.99888757625595,0.0,41.659670002851634
LLY,266,266,large,15.518065519584344,14.654353048651167,6.845440127704991,24.274401812745023,2.804454661937405,2.7507490283831593,2.0599324875692178,3.2297920974749315,15.571349199861288,15.038512397091838,0.40098538063466554,31.01084697758779
VST,245,245,large,13.126083638155833,13.10192517984255,6.51871683494444,20.657335078853645,2.648022991835395,2.646311325641202,2.0173954897511654,3.075344199786231,12.485050348564982,18.895383244473486,0.21774153895676138,31.598175131995234
V,418,418,large,12.58256608213298,12.20530381887903,7.589121455542278,17.556208851117404,2.608787064672492,2.580618553351062,2.1504964555086827,2.920804442006014,14.64571058563888,-5.985734449420124,1.4501563221216203,10.110132458340376
SPG,256,256,large,12.456413900908085,12.422272500076645,5.965519492946565,19.766130447114115,2.599455862337497,2.596915454024117,1.9409721906594823,3.033323315625671,10.608238089829683,29.08999620061368,0.5498404741287232,40.24807476457208
GFI,243,243,large,11.981687458287926,12.644301392794894,9.596535267241066,16.434503675970017,2.563539707316688,2.613321954080446,2.3605270861061,2.8584512126143036,7.1644227504730225,55.33706982862205,-0.1381645455956459,62.363328033499414
LKNCY,102,102,mid,10.974721880555153,10.986609019726517,9.681162472270428,12.283381526663899,2.4827979180214417,2.483790111668449,2.3684816733269884,2.5865137446667195,2.4022051990032196,46.465891206264494,0.0,48.868096405267714
SEI,269,269,small,10.861539158420637,11.427662158829472,9.137853045789758,13.779255335259714,2.4733011624191064,2.5199248072885636,2.3162762445603833,2.6932245309801206,2.417575426399708,32.17583815073595,0.0,34.59341357713566
ATO,148,148,large,10.142816513916477,10.20408766405626,3.2283677502968353,16.72985930978926,2.410795031440648,2.4162786817207205,1.4418160439550942,2.875250184904563,10.288552306592464,8.831194379832596,0.0,19.11974668642506
CWCO,147,147,small,7.673070451719687,7.45939254938097,5.99901764875697,9.587099723380991,2.160222874777788,2.1352773683665522,1.9457698033154494,2.359636252735128,6.693661317229271,14.90724878916517,-0.729674218222499,20.871235888171938
FLR,261,261,large,5.079713535821066,5.121887296478575,0.6591902855744121,10.655168040504904,1.804957579049187,1.8118704307618927,0.5063297035907472,2.4557496902735223,7.073860630393028,-12.867610315326601,-0.03251430615782736,-5.826263991091402
CF,158,158,large,4.786431301804259,4.969181842567709,-5.651012455323012,14.844493761431421,1.7555157460855613,1.786609873216986,-1.8947690919998257,2.762822043211943,4.404138205572963,8.22706916788593,0.0,12.631207373458894
DUOL,173,173,mid,2.1582995783537626,3.3579413401074705,-3.1209091258635744,9.952879545768722,1.1500337746507914,1.471999776153607,-1.4160738006366136,2.393602393907699,7.950106959789991,-17.11875555384904,0.16975817270576957,-8.998890421353282
AXON,159,159,mid,1.6756611333601166,1.9022675660712025,-4.986444624227005,7.737610208863855,0.9841965024687707,1.065492350787664,-1.789497684023736,2.167636720798133,3.1845036819577217,-2.828182673547417,0.12145090699195862,0.4777719154022648
KRYS,119,119,mid,0.7124126778729261,0.7939422855712475,-0.028333505714777826,1.6970300241871736,0.537903298831048,0.5844155923115585,-0.027939536321102104,0.9921511765343277,0.17037024721503258,3.0378421268425884,-0.14414920546114443,3.0640631685964763
